Link|workID|oaiID|Title|Authors|Publication
https://core.ac.uk/works/38716585/|"oai:dspace.vsb.cz:10084\/108895"||Methods of Artificial Intelligence for the Game StarCraft|Hajný Jiří|2017-10-17T22:01:46
https://core.ac.uk/works/39019149/|"oai:dspace.vsb.cz:10084\/116158"||Methods of Artificial Intelligence for the Game StarCraft|Jaroň Vladimír|2017-08-03T05:03:06
https://core.ac.uk/works/149403522/|"oai:dspace.vutbr.cz:11012\/211631"||Education of artificial intelligence in extracurricular education|Szymeczek Martin|2023-08-05T21:48:19
https://core.ac.uk/works/16118437/|"oai:invenio.nusl.cz:596337","oai:invenio.nusl.cz:238130","oai:dspace.vutbr.cz:11012\/55180"||Logical Network Games for Android|Kubík Michal|2016-08-09T15:06:59
https://core.ac.uk/works/109850186/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/117650"||Legal Aspect of Artificial Intelligence|Dang Milan|2021-04-17T06:10:01
https://core.ac.uk/works/16119577/|"oai:dspace.vutbr.cz:11012\/55328","oai:invenio.nusl.cz:238278","oai:invenio.nusl.cz:582306"||Scriptable Fight System for Turn-Based Computer Game|Kanich Ondřej|2016-08-09T15:07:04
https://core.ac.uk/works/40036836/|"oai:dspace.cvut.cz:10467\/86165"||Implementation of 2D turn-based strategy game with AI|Ivan Štěpánek|2020-03-18T04:49:06
https://core.ac.uk/works/38815227/|"oai:dspace.vsb.cz:10084\/119037"||Artificial Intelligence in Computer Games|Wlosok Jan|2017-10-17T22:09:58
https://core.ac.uk/works/16113256/|"oai:invenio.nusl.cz:235575","oai:invenio.nusl.cz:593381","oai:dspace.vutbr.cz:11012\/52817"||Computer Game in 2D for Linux|Ševčík Jaroslav|2016-08-09T15:06:14
https://core.ac.uk/works/149673285/|"oai:apcz.umk.pl:article\/45179"||Future of cardiovascular diagnosis with the support of artificial intelligence|Grabowska Ewa, Kamińska Izabela, Kapłon Kamil, Kojder Dominika, Możdżyńska Agnieszka, Musiał Lena, Rymarz Ania, Sierpień Małgorzata, Wojtala Laura|2023-09-30T07:31:25
https://core.ac.uk/works/84130807/|"oai:generic.eprints.org:9256\/core10784","oai:utpedia.utp.edu.my:9256"||LOAD FORECASTING USING ARTIFICIAL INTELIGENCE TECHNIQUE|ABDULLAH MUHAMMAD FITRI|2020-04-17T10:29:09
https://core.ac.uk/works/16139444/|"oai:dspace.vutbr.cz:11012\/68052"||Artificial Intelligence|Ragas Luděk|2017-06-18T11:24:48
https://core.ac.uk/works/16118724/|"oai:dspace.vutbr.cz:11012\/55916","oai:invenio.nusl.cz:238966","oai:invenio.nusl.cz:578791"||Computer Game Based on Artificial Inteligence|Serédi Silvester|2016-08-09T15:07:15
https://core.ac.uk/works/16117843/|"oai:dspace.vutbr.cz:11012\/55109","oai:invenio.nusl.cz:238059"||The Hnefatafl Board Game Artificial Intelligence|Stratilová Lenka|2016-08-09T15:06:58
https://core.ac.uk/works/32974748/|"oai:dspace.vsb.cz:10084\/128518"||Interactive Robotic System with Artificial Inteligence Implementation|Petráš Radek|2019-01-03T09:06:53
https://core.ac.uk/works/158128205/|"oai:ojs2.ejournal.ipdn.ac.id:article\/4202"|10.33701/jmb.v6i1.4202|Tren Penelitian Artificial Inteligence pada Pelayanan Publik|Idza Allisa Akhidatul|2024-10-01T20:02:23
https://core.ac.uk/works/109849474/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/117666"||Selected legal aspects of Artificial Intelligence|Zachová Magdalena|2021-04-17T06:10:01
https://core.ac.uk/works/150853254/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/184561"||The use of artificial intelligence in civil procedure|Hart Vojtěch Lev|2023-10-26T14:29:06
https://core.ac.uk/works/16119798/|"oai:dspace.vutbr.cz:11012\/55238","oai:invenio.nusl.cz:238188"||Evaluation of Trust or Reputation Based on Social Network Analysis|Švec Tomáš|2016-08-09T15:07:03
https://core.ac.uk/works/52608087/|"oai:repository.unpas.ac.id:39384"||ANALISIS MODEL KECERDASAN NON PLAYER CHARACTER SEBAGAI PEMBENTUKAN CHALLANGE PADA DOTA 2|Muhamad Roni 12.304.0265|2018-11-05T20:11:57
https://core.ac.uk/works/17140059/|"oai:arxiv.org:1308.0356"||Design and Development of an Expert System to Help Head of University   Departments|Fekri-Ershad Shervan, Jafari Shahram, Tajalizadeh Hadi|2014-10-24T19:20:13
https://core.ac.uk/works/136514316/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/126517"||Artificial intelligence and copyright law|Czichon Radek|2021-08-22T13:56:30
https://core.ac.uk/works/40028164/|"oai:dspace.cvut.cz:10467\/77487"||Opponent Modelling Library for StarCraft AI|Bohuslav Tomáš|2018-07-09T20:22:14
https://core.ac.uk/works/147642015/|"oai:dspace.vutbr.cz:11012\/210131"||Using artificial intelligence for energy management in smart buildings|Michálek Jiří|2023-08-05T21:48:01
https://core.ac.uk/works/70951359/|"oai:ojs.umcsd.home.net.pl:article\/2961"|10.17951/ai.2004.2.1.71-80|Mind and information processing: some considerations|Mycka Jerzy|2019-10-30T07:21:52
https://core.ac.uk/works/16114369/|"oai:dspace.vutbr.cz:11012\/52538","oai:https:\/\/dspace.vut.cz:11012\/52538","oai:invenio.nusl.cz:235314"||Board Game Focused on Educational Support for Gaming Algorithms|Čáslava Martin|2016-08-09T15:06:12
https://core.ac.uk/works/109855240/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/122371"||Law and Artificial Intelligence|Němec Daniel|2021-04-17T06:13:04
https://core.ac.uk/works/16116546/|"oai:invenio.nusl.cz:238293","oai:invenio.nusl.cz:612548","oai:dspace.vutbr.cz:11012\/55343"||Modular tool for creating games with artificial intelligence|Klika Jan|2016-08-09T15:07:04
https://core.ac.uk/works/127846464/|"oai:dspace.vsb.cz:10084\/147323"||Reinforcement Learning and its Application in Games|Hlavsa Milan|2022-10-05T05:26:00
https://core.ac.uk/works/11644950/|"oai:riunet.upv.es:10251\/48298"||Scares for sale: diseño y desarrollo de un videojuego en Unity 3D. Inteligencia artificial y animación|Fernández Molina David|2019-12-25T14:06:31
https://core.ac.uk/works/9948501/|"oai:ojs.journals.muni.cz:article\/9067","oai:is.muni.cz:1422578"|10.5817/rpt2018-1-2|Akceptace právní osobnosti v případě umělé inteligence|Zibner Jan|2019-04-30T07:50:51
https://core.ac.uk/works/89006389/|"oai:repozitorij.uni-lj.si:izpisgradiva.php?id=119449"||Freedom of the individual in the age of artificial intelligence|Kvrgić Maja|2020-09-16T01:33:33
https://core.ac.uk/works/150853652/|"oai:https:\/\/dspace.cuni.cz:20.500.11956\/184009"||The limits of humanity. Robots are getting dangerously close to humans, while you tend not to consider various groups of people as (fully) human.|Slavík Vratislav|2023-10-26T14:30:49
